number,value,datetime_start,datetime_complete,duration,params_beta,params_delta,params_phi,params_sigma_v,params_sigma_w,system_attrs_fixed_params,state
0,0.6605641962952294,2026-03-28 14:57:54.770192,2026-03-28 14:57:55.006813,0 days 00:00:00.236621,0.05,0.3,0.95,0.7559,0.1,"{'phi': 0.95, 'sigma_w': 0.1, 'sigma_v': 0.7559, 'delta': 0.3, 'beta': 0.05}",COMPLETE
1,0.6372308563859177,2026-03-28 14:57:55.006859,2026-03-28 14:57:55.233299,0 days 00:00:00.226440,0.05,0.2,0.98,1.2,0.1,"{'phi': 0.98, 'sigma_w': 0.1, 'sigma_v': 1.2, 'delta': 0.2, 'beta': 0.05}",COMPLETE
2,0.6608449518938064,2026-03-28 14:57:55.233335,2026-03-28 14:57:55.475475,0 days 00:00:00.242140,0.0,0.3,0.95,0.7559,0.1,"{'phi': 0.95, 'sigma_w': 0.1, 'sigma_v': 0.7559, 'delta': 0.3, 'beta': 0.0}",COMPLETE
3,0.6813045807214395,2026-03-28 14:57:55.475510,2026-03-28 14:57:55.704908,0 days 00:00:00.229398,0.031203728088487304,0.2993292420985183,0.9374165578728515,0.9744578609310866,0.4123206532618726,,COMPLETE
4,1.3644841157332888,2026-03-28 14:57:55.704944,2026-03-28 14:57:55.928216,0 days 00:00:00.223272,0.1416145155592091,0.3005575058716044,0.9155838525815867,1.209351086411077,0.012551115172973842,,COMPLETE
5,0.6835124493561746,2026-03-28 14:57:55.928256,2026-03-28 14:57:56.155318,0 days 00:00:00.227062,0.03636499344142013,0.10616955533913808,0.9020563909801507,1.145443549769061,0.44447541666908114,,COMPLETE
6,1.11690687304799,2026-03-28 14:57:56.155357,2026-03-28 14:57:56.368871,0 days 00:00:00.213514,0.058245828039608386,0.21597250932105788,0.9183221105343581,0.6980881404584887,0.0328774741399112,,COMPLETE
7,0.9030741297265469,2026-03-28 14:57:56.368910,2026-03-28 14:57:56.588571,0 days 00:00:00.219661,0.0912139968434072,0.18318092164684585,0.9611241041827657,0.48008882934877484,0.017258215396625,,COMPLETE
8,0.7292938008137654,2026-03-28 14:57:56.588610,2026-03-28 14:57:56.834208,0 days 00:00:00.245598,0.009290082543999545,0.29620728443102123,0.978439078543162,0.6863659056733767,0.021839352923182977,,COMPLETE
9,0.7269220491829382,2026-03-28 14:57:56.834251,2026-03-28 14:57:57.050767,0 days 00:00:00.216516,0.19312640661491187,0.4744427686266666,0.9606937307049537,0.33311206825550466,0.019485671251272575,,COMPLETE
10,0.6606645035903959,2026-03-28 14:57:57.050809,2026-03-28 14:57:57.270773,0 days 00:00:00.219964,0.10050624353495928,0.008980937807409994,0.9974923052338999,1.4282315195149784,0.19791106314335036,,COMPLETE
11,0.6420320590277506,2026-03-28 14:57:57.270835,2026-03-28 14:57:57.492859,0 days 00:00:00.222024,0.0759208486840447,0.44058519988453393,0.9859099138228711,0.898279764027041,0.06755235590564532,,COMPLETE
12,0.6512443407322057,2026-03-28 14:57:57.492898,2026-03-28 14:57:57.711744,0 days 00:00:00.218846,0.08916212493767489,0.45460562003390703,0.99924130314226,0.9301851870799542,0.04918845468783963,,COMPLETE
13,0.6455690532706024,2026-03-28 14:57:57.711785,2026-03-28 14:57:57.935471,0 days 00:00:00.223686,0.12917128814064824,0.40174462833027397,0.9822532922922631,1.490586145047262,0.16909257917349976,,COMPLETE
14,0.6391657163562283,2026-03-28 14:57:57.935509,2026-03-28 14:57:58.155852,0 days 00:00:00.220343,0.06952668609931652,0.13724248664124047,0.9790677862917703,0.5148496050175877,0.04787308661210928,,COMPLETE
15,0.6628155099883422,2026-03-28 14:57:58.155892,2026-03-28 14:57:58.376530,0 days 00:00:00.220638,0.127004806468826,0.12747450959997145,0.9678563894651283,0.5208679973019081,0.0399510832404997,,COMPLETE
16,0.6936936901067209,2026-03-28 14:57:58.376570,2026-03-28 14:57:58.598771,0 days 00:00:00.222201,0.06327117343781073,0.047447505143096286,0.9730180391001113,0.5082070193603367,0.20322889244613634,,COMPLETE
17,0.6733635895134755,2026-03-28 14:57:58.598817,2026-03-28 14:57:58.829408,0 days 00:00:00.230591,0.03060560828075197,0.14247796938376048,0.9861674073632567,0.3912598554702631,0.10609361321347717,,COMPLETE
18,0.7203941112696448,2026-03-28 14:57:58.829452,2026-03-28 14:57:59.064654,0 days 00:00:00.235202,0.10862942224156866,0.07535299579144393,0.9367011508332796,0.5852456914953454,0.06563400728092413,,COMPLETE
19,0.6359425103694472,2026-03-28 14:57:59.064695,2026-03-28 14:57:59.293140,0 days 00:00:00.228445,0.1629180257360286,0.2130808151756437,0.9913879817894845,0.41125213734026944,0.028168068046976556,,COMPLETE
20,0.6456488825136504,2026-03-28 14:57:59.293181,2026-03-28 14:57:59.526135,0 days 00:00:00.232954,0.18625093550699842,0.3735723709863854,0.9931447638084436,0.3075831543912592,0.026476370948267453,,COMPLETE
21,0.6427706028295366,2026-03-28 14:57:59.526174,2026-03-28 14:57:59.743942,0 days 00:00:00.217768,0.17192997503911023,0.19729297654909717,0.9713223971393541,0.41269407031542166,0.04649370638930596,,COMPLETE
22,0.6492085838160457,2026-03-28 14:57:59.743987,2026-03-28 14:57:59.966777,0 days 00:00:00.222790,0.15418025898080562,0.24225230350866578,0.9895010381112952,0.38542464552914374,0.011042007424299451,,COMPLETE
23,0.6568583112431134,2026-03-28 14:57:59.966828,2026-03-28 14:58:00.188195,0 days 00:00:00.221367,0.07429459790632073,0.16374529382141045,0.9619141683740087,0.6034324635062467,0.13928444695255462,,COMPLETE
24,0.6465519381067342,2026-03-28 14:58:00.188233,2026-03-28 14:58:00.407784,0 days 00:00:00.219551,0.1152407427863727,0.23075354110135676,0.9757700816856448,0.46254330785439496,0.03242992740209834,,COMPLETE
25,0.7188227220689012,2026-03-28 14:58:00.407824,2026-03-28 14:58:00.632277,0 days 00:00:00.224453,0.16219310682316002,0.09511247846078279,0.9914445804512187,0.5836367201201614,0.2866235042795038,,COMPLETE
26,0.6432481312006277,2026-03-28 14:58:00.632311,2026-03-28 14:58:00.853487,0 days 00:00:00.221176,0.04365320765948068,0.2590463823417906,0.9802806834448495,0.4363569085497671,0.054926638757237224,,COMPLETE
27,0.655727595143097,2026-03-28 14:58:00.853524,2026-03-28 14:58:01.081816,0 days 00:00:00.228292,0.020963868413428705,0.16653106547656396,0.9663058858398016,0.366141069325383,0.07970181684680654,,COMPLETE
28,1.0108423783451594,2026-03-28 14:58:01.081857,2026-03-28 14:58:01.302384,0 days 00:00:00.220527,0.07081164737182188,0.363768631339208,0.956322004244521,0.5446644333534081,0.01548105611991322,,COMPLETE
29,0.6851807186636436,2026-03-28 14:58:01.302421,2026-03-28 14:58:01.523708,0 days 00:00:00.221287,0.05152561495956898,0.27192889264842324,0.9408592069999254,0.8033861737801219,0.09657068262702823,,COMPLETE
30,1.2507595260759397,2026-03-28 14:58:01.523750,2026-03-28 14:58:01.743527,0 days 00:00:00.219777,0.08139582593066436,0.05333948164439947,0.9475243037233376,1.0940176949868459,0.026444872133321473,,COMPLETE
31,0.6355003715883996,2026-03-28 14:58:01.743567,2026-03-28 14:58:01.965920,0 days 00:00:00.222353,0.06347152915715311,0.20205675493671194,0.9854831828759698,0.8520794131273243,0.06883806271190268,,COMPLETE
32,0.6456214442471762,2026-03-28 14:58:01.965960,2026-03-28 14:58:02.189253,0 days 00:00:00.223293,0.04991049800526605,0.21042600933433017,0.9818282809483906,0.8285424709977197,0.11942151425469723,,COMPLETE
33,0.6327723615625255,2026-03-28 14:58:02.189293,2026-03-28 14:58:02.412735,0 days 00:00:00.223442,0.06058321333473725,0.14285331525085226,0.9947770128929764,1.3130628160165148,0.03785424871653495,,COMPLETE
34,0.6370106211069628,2026-03-28 14:58:02.412778,2026-03-28 14:58:02.635937,0 days 00:00:00.223159,0.018666536237162856,0.1796475970991783,0.9945113994215757,1.3095300072551532,0.08688924249703762,,COMPLETE
35,0.6351002279538625,2026-03-28 14:58:02.635977,2026-03-28 14:58:02.859404,0 days 00:00:00.223427,0.011393894207168388,0.17317415156670182,0.9942845977000667,1.3100898206132712,0.07643089259827075,,COMPLETE
36,0.6460024310665498,2026-03-28 14:58:02.859443,2026-03-28 14:58:03.081509,0 days 00:00:00.222066,0.0030576718626582934,0.3327267941539832,0.9993975395510366,1.012000370397782,0.05876052491210786,,COMPLETE
37,0.6726332654332747,2026-03-28 14:58:03.081548,2026-03-28 14:58:03.302237,0 days 00:00:00.220689,0.036761001227376085,0.11317847079859275,0.9875143380596733,1.3645478543242076,0.03633341898559161,,COMPLETE
38,0.6411049756284883,2026-03-28 14:58:03.302274,2026-03-28 14:58:03.524210,0 days 00:00:00.221936,0.13914736230032032,0.15252574246778147,0.993536858642733,1.255271815835338,0.027403697760584704,,COMPLETE
39,0.635169344040583,2026-03-28 14:58:03.524251,2026-03-28 14:58:03.748046,0 days 00:00:00.223795,0.01674806592675715,0.2749169636948654,0.9854336255812964,1.0608018954027016,0.07518414590881557,,COMPLETE
40,0.8481271629135455,2026-03-28 14:58:03.748086,2026-03-28 14:58:03.976252,0 days 00:00:00.228166,0.01737685062377331,0.2793644003515996,0.9291374758667653,1.0327167951966414,0.0772663098786563,,COMPLETE
41,0.6603872481362403,2026-03-28 14:58:03.976289,2026-03-28 14:58:04.198148,0 days 00:00:00.221859,0.025620107759949926,0.22985231603786738,0.9855255217887096,1.1494616489707394,0.0382131904659767,,COMPLETE
42,0.6352230284707117,2026-03-28 14:58:04.198190,2026-03-28 14:58:04.422640,0 days 00:00:00.224450,0.010921372928308436,0.20148822006578876,0.9949752667356082,1.103387880874053,0.05925631054065958,,COMPLETE
43,0.6378864471260541,2026-03-28 14:58:04.422679,2026-03-28 14:58:04.646274,0 days 00:00:00.223595,0.005822297451678686,0.32764446362711397,0.9958269053244878,1.2005780298044217,0.059788093833232005,,COMPLETE
44,0.6399543445539924,2026-03-28 14:58:04.646314,2026-03-28 14:58:04.863926,0 days 00:00:00.217612,0.012247185822561409,0.19107260860949246,0.9841232984932874,1.0744417274657603,0.1197523487617743,,COMPLETE
45,0.640587668089673,2026-03-28 14:58:04.863965,2026-03-28 14:58:05.087418,0 days 00:00:00.223453,0.03691298591270147,0.17618456730169724,0.975048905811778,0.9418886066373028,0.08735536556061414,,COMPLETE
46,0.9097555135133919,2026-03-28 14:58:05.087457,2026-03-28 14:58:05.311772,0 days 00:00:00.224315,0.0009741599846447915,0.24158061333299982,0.9075016570301457,0.8615544462243117,0.07472436359250616,,COMPLETE
47,0.6469792835586018,2026-03-28 14:58:05.311810,2026-03-28 14:58:05.543250,0 days 00:00:00.231440,0.06090815332334154,0.3194641618159581,0.9995737199360911,0.7359645635692914,0.04680608864553532,,COMPLETE
48,0.6331679855301653,2026-03-28 14:58:05.543293,2026-03-28 14:58:05.765513,0 days 00:00:00.222220,0.04678160728495402,0.26025413885217086,0.9889736033820848,1.3536168668337492,0.06664627668370667,,COMPLETE
49,0.6362007368610882,2026-03-28 14:58:05.765553,2026-03-28 14:58:05.993831,0 days 00:00:00.228278,0.028157260537453474,0.2693089737449099,0.9894259279839878,1.3900715792807508,0.053004330605839624,,COMPLETE
50,0.755036559371326,2026-03-28 14:58:05.993870,2026-03-28 14:58:06.221655,0 days 00:00:00.227785,0.04271717994483744,0.31137243412790483,0.9780811727601844,1.47559801181876,0.0425935161979261,,COMPLETE
51,0.6369039037180417,2026-03-28 14:58:06.221694,2026-03-28 14:58:06.464590,0 days 00:00:00.242896,0.013797312569493573,0.2933060550826224,0.9958917752154572,1.2744800337554931,0.06346057735821223,,COMPLETE
52,0.6336526815994765,2026-03-28 14:58:06.464629,2026-03-28 14:58:06.738821,0 days 00:00:00.274192,0.05361218375923636,0.12556727265114956,0.9888395013079736,1.1615640350695497,0.06846538868675806,,COMPLETE
53,0.6393825473840292,2026-03-28 14:58:06.738860,2026-03-28 14:58:06.995524,0 days 00:00:00.256664,0.05351870458945854,0.12010478040467919,0.9895033499771193,1.1445035606529708,0.10702758644840568,,COMPLETE
54,0.6486071849577393,2026-03-28 14:58:06.995564,2026-03-28 14:58:07.238836,0 days 00:00:00.243272,0.08588563286413495,0.09117014883559993,0.9956891548880081,1.3405953320568458,0.1444924472020232,,COMPLETE
55,0.6365191084131504,2026-03-28 14:58:07.238881,2026-03-28 14:58:07.470871,0 days 00:00:00.231990,0.043050733007384184,0.15202156882917134,0.982115032021407,1.2279692648892546,0.09531400531142445,,COMPLETE
56,0.6753225799814837,2026-03-28 14:58:07.470911,2026-03-28 14:58:07.695731,0 days 00:00:00.224820,0.025207554897280073,0.1327474551109361,0.9707183285067953,1.133361710642491,0.069772214181419,,COMPLETE
57,0.6524669608118567,2026-03-28 14:58:07.695770,2026-03-28 14:58:07.935312,0 days 00:00:00.239542,0.03373472038021248,0.22568914100663068,0.9916143093814419,1.0016754939751458,0.02213220795326664,,COMPLETE
58,0.7094123317088306,2026-03-28 14:58:07.935365,2026-03-28 14:58:08.164991,0 days 00:00:00.229626,0.09748958654413672,0.05723041277882225,0.9874776172158389,1.4991691165455396,0.03258336419601683,,COMPLETE
59,0.6442166817389143,2026-03-28 14:58:08.165033,2026-03-28 14:58:08.401193,0 days 00:00:00.236160,0.007789755593809386,0.2548975852780052,0.9997208937502137,1.0810311609229488,0.053339809734255596,,COMPLETE
60,0.7752326343794024,2026-03-28 14:58:08.401251,2026-03-28 14:58:08.639111,0 days 00:00:00.237860,0.02114600496040974,0.08350278556962315,0.976928416056029,1.4079795928357606,0.04333733086686515,,COMPLETE
61,0.6349533003824543,2026-03-28 14:58:08.639152,2026-03-28 14:58:08.891173,0 days 00:00:00.252021,0.05919126547522657,0.2009268792868986,0.9845984025255814,0.9574770425903028,0.06739292794283852,,COMPLETE
62,0.6355106887936923,2026-03-28 14:58:08.891253,2026-03-28 14:58:09.161779,0 days 00:00:00.270526,0.06618087984988354,0.19393526306341255,0.991994378714862,1.1953607531955475,0.08364411810875648,,COMPLETE
63,0.6453164675828239,2026-03-28 14:58:09.161822,2026-03-28 14:58:09.446690,0 days 00:00:00.284868,0.07901308007803773,0.1623249461935103,0.98345370877314,1.317334552953749,0.06162615996813814,,COMPLETE
64,0.6358365984123276,2026-03-28 14:58:09.446756,2026-03-28 14:58:09.689103,0 days 00:00:00.242347,0.05765806446862543,0.13802799716921957,0.9894169244967126,0.9484926732720211,0.07279564282590605,,COMPLETE
65,0.6364987088453153,2026-03-28 14:58:09.689159,2026-03-28 14:58:09.924920,0 days 00:00:00.235761,0.048159222748296523,0.20807302702287062,0.996351574762245,1.0501035192272288,0.052498519105191405,,COMPLETE
66,0.6388056866438903,2026-03-28 14:58:09.924960,2026-03-28 14:58:10.190322,0 days 00:00:00.265362,0.0324665167562884,0.10459739833016117,0.9810218016907055,1.1782737917208195,0.11594035699023195,,COMPLETE
67,0.6415454699792715,2026-03-28 14:58:10.190370,2026-03-28 14:58:10.487340,0 days 00:00:00.296970,0.05782985117381344,0.28465052725421275,0.9737133954099828,0.9058208115689226,0.09415838660438472,,COMPLETE
68,0.6407451304440092,2026-03-28 14:58:10.487380,2026-03-28 14:58:10.718509,0 days 00:00:00.231129,0.012702797364482116,0.24423888270820207,0.9874637121277096,1.2749103349559365,0.1352864857446388,,COMPLETE
69,0.6327866708093058,2026-03-28 14:58:10.718549,2026-03-28 14:58:10.951435,0 days 00:00:00.232886,0.038677977714466835,0.18286692332073043,0.992767182215293,1.106690802822984,0.037044443437824495,,COMPLETE
70,0.9026760698321792,2026-03-28 14:58:10.951490,2026-03-28 14:58:11.187872,0 days 00:00:00.236382,0.04001963876534417,0.4971509633507085,0.968850552449233,1.4309679685613848,0.03569750357751643,,COMPLETE
71,0.6318006522979054,2026-03-28 14:58:11.187912,2026-03-28 14:58:11.439037,0 days 00:00:00.251125,0.04784841354050701,0.1764065950902375,0.9930110911385759,1.1159056307031223,0.04728789507053765,,COMPLETE
72,0.6327618367740298,2026-03-28 14:58:11.439079,2026-03-28 14:58:11.691158,0 days 00:00:00.252079,0.04896450005789005,0.17587604194093917,0.9924097682684503,1.2323943415699994,0.042157957832957116,,COMPLETE
73,0.6416224919289796,2026-03-28 14:58:11.691227,2026-03-28 14:58:11.931393,0 days 00:00:00.240166,0.047669388591855204,0.1802210990819546,0.9927065043446477,1.2452420615344337,0.02963581855397279,,COMPLETE
74,0.6376385805741117,2026-03-28 14:58:11.931438,2026-03-28 14:58:12.153153,0 days 00:00:00.221715,0.07011691973039938,0.15118560117458318,0.9979563501398514,1.3344601718249804,0.040275273843193356,,COMPLETE
75,0.6687145677637125,2026-03-28 14:58:12.153192,2026-03-28 14:58:12.382064,0 days 00:00:00.228872,0.07513814396938331,0.1672917094099931,0.9891821929165108,0.9898160679087237,0.02333070081567338,,COMPLETE
