match_id,season,round,timestamp,status,home_team,away_team,home_team_id,away_team_id,home_goals,away_goals,venue,referee,attendance,home_ballPossession,away_ballPossession,home_bigChanceCreated,away_bigChanceCreated,home_totalShotsOnGoal,away_totalShotsOnGoal,home_goalkeeperSaves,away_goalkeeperSaves,home_cornerKicks,away_cornerKicks,home_fouls,away_fouls,home_passes,away_passes,home_totalTackle,away_totalTackle,home_freeKicks,away_freeKicks,home_yellowCards,away_yellowCards,home_redCards,away_redCards,home_shotsOnGoal,away_shotsOnGoal,home_hitWoodwork,away_hitWoodwork,home_shotsOffGoal,away_shotsOffGoal,home_blockedScoringAttempt,away_blockedScoringAttempt,home_totalShotsInsideBox,away_totalShotsInsideBox,home_totalShotsOutsideBox,away_totalShotsOutsideBox,home_bigChanceScored,away_bigChanceScored,home_bigChanceMissed,away_bigChanceMissed,home_accurateThroughBall,away_accurateThroughBall,home_fouledFinalThird,away_fouledFinalThird,home_offsides,away_offsides,home_accuratePasses,away_accuratePasses,home_throwIns,away_throwIns,home_finalThirdEntries,away_finalThirdEntries,home_accurateLongBalls,away_accurateLongBalls,home_accurateCross,away_accurateCross,home_duelWonPercent,away_duelWonPercent,home_dispossessed,away_dispossessed,home_groundDuelsPercentage,away_groundDuelsPercentage,home_aerialDuelsPercentage,away_aerialDuelsPercentage,home_dribblesPercentage,away_dribblesPercentage,home_wonTacklePercent,away_wonTacklePercent,home_interceptionWon,away_interceptionWon,home_totalClearance,away_totalClearance,home_goalKicks,away_goalKicks,home_touchesInOppBox,away_touchesInOppBox,home_finalThirdPhaseStatistic,away_finalThirdPhaseStatistic,home_errorsLeadToGoal,away_errorsLeadToGoal,home_highClaims,away_highClaims,home_punches,away_punches
9576454,2021-2022,36,1652014800,finished,Arsenal,Leeds United,42,34,2.0,1.0,Emirates Stadium,Chris Kavanagh,60108.0,63.0,37.0,3.0,2.0,19.0,3.0,1.0,7.0,8.0,2.0,13.0,15.0,621.0,364.0,16.0,24.0,14.0,12.0,2.0,2.0,0.0,1.0,9.0,2.0,0.0,0.0,8.0,0.0,2.0,1.0,15.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0,1.0,0.0,556.0,285.0,30.0,10.0,89.0,20.0,26.0,23.0,9.0,1.0,53.0,47.0,12.0,7.0,45.0,38.0,7.0,8.0,15.0,2.0,10.0,15.0,5.0,2.0,9.0,24.0,1.0,13.0,,,,,,,,,,
9576340,2021-2022,36,1652023800,finished,Manchester City,Newcastle United,17,39,5.0,0.0,Etihad Stadium,Stuart Attwell,53336.0,71.0,29.0,8.0,3.0,21.0,7.0,3.0,4.0,8.0,2.0,6.0,11.0,712.0,281.0,8.0,19.0,11.0,6.0,1.0,3.0,,,9.0,3.0,0.0,0.0,8.0,3.0,4.0,1.0,14.0,5.0,7.0,2.0,5.0,0.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,4.0,645.0,216.0,12.0,9.0,66.0,38.0,27.0,27.0,4.0,3.0,53.0,47.0,12.0,3.0,28.0,31.0,21.0,12.0,9.0,6.0,5.0,9.0,5.0,7.0,10.0,21.0,5.0,15.0,,,,,,,,,,
10236821,2021-2022,33,1652209200,finished,Aston Villa,Liverpool,40,44,1.0,2.0,Villa Park,Jonathan Moss,41919.0,39.0,61.0,3.0,2.0,9.0,17.0,3.0,3.0,2.0,3.0,10.0,12.0,343.0,530.0,12.0,15.0,12.0,9.0,,,,,4.0,6.0,0.0,0.0,5.0,8.0,0.0,3.0,7.0,11.0,2.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,259.0,441.0,24.0,20.0,44.0,52.0,27.0,42.0,4.0,5.0,48.0,52.0,9.0,2.0,36.0,41.0,12.0,10.0,12.0,17.0,7.0,10.0,12.0,8.0,15.0,13.0,9.0,6.0,,,,,,,,,,
10236820,2021-2022,33,1652293800,finished,Leeds United,Chelsea,34,38,0.0,3.0,Elland Road,Anthony Taylor,,32.0,68.0,1.0,0.0,5.0,17.0,,,1.0,4.0,10.0,14.0,379.0,817.0,16.0,17.0,13.0,9.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,10.0,1.0,3.0,2.0,12.0,3.0,5.0,,,1.0,0.0,,,2.0,1.0,0.0,3.0,298.0,742.0,17.0,11.0,33.0,71.0,19.0,29.0,3.0,3.0,45.0,55.0,11.0,9.0,33.0,41.0,10.0,12.0,4.0,15.0,10.0,9.0,10.0,8.0,18.0,11.0,10.0,3.0,,,,,,,,,,
10236818,2021-2022,30,1652294700,finished,Watford,Everton,24,48,0.0,0.0,Vicarage Road,Mike Dean,,48.0,52.0,,,6.0,16.0,5.0,0.0,1.0,13.0,5.0,12.0,470.0,488.0,15.0,25.0,12.0,5.0,1.0,2.0,,,0.0,5.0,0.0,0.0,5.0,4.0,1.0,7.0,3.0,11.0,3.0,5.0,,,,,,,6.0,2.0,1.0,1.0,385.0,386.0,12.0,17.0,51.0,61.0,25.0,31.0,3.0,11.0,50.0,50.0,14.0,8.0,44.0,39.0,21.0,26.0,17.0,10.0,10.0,17.0,12.0,11.0,19.0,12.0,4.0,9.0,,,,,,,,,,
10236824,2021-2022,21,1652294700,finished,Leicester City,Norwich City,31,263,3.0,0.0,King Power Stadium,Simon Hooper,38092.0,65.0,35.0,4.0,2.0,20.0,9.0,5.0,5.0,10.0,2.0,10.0,5.0,640.0,354.0,24.0,19.0,5.0,10.0,,,,,8.0,5.0,0.0,1.0,5.0,4.0,7.0,0.0,11.0,6.0,9.0,3.0,1.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,573.0,285.0,25.0,18.0,59.0,30.0,41.0,22.0,5.0,3.0,56.0,44.0,7.0,10.0,38.0,37.0,15.0,5.0,9.0,8.0,17.0,12.0,4.0,5.0,11.0,32.0,2.0,9.0,,,,,,,,,,
10277713,2021-2022,33,1652296500,finished,Wolverhampton,Manchester City,3,17,1.0,5.0,Molineux Stadium,Martin Atkinson,,34.0,66.0,0.0,6.0,7.0,15.0,0.0,2.0,6.0,2.0,2.0,11.0,383.0,787.0,16.0,22.0,9.0,2.0,0.0,1.0,,,3.0,5.0,0.0,2.0,3.0,9.0,1.0,1.0,5.0,12.0,2.0,3.0,0.0,4.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,3.0,319.0,721.0,8.0,12.0,27.0,56.0,25.0,47.0,5.0,1.0,49.0,51.0,12.0,12.0,35.0,29.0,4.0,11.0,10.0,5.0,9.0,10.0,8.0,8.0,12.0,10.0,9.0,2.0,,,,,,,,,,
10236815,2021-2022,22,1652381100,finished,Tottenham Hotspur,Arsenal,33,42,3.0,0.0,Tottenham Hotspur Stadium,Paul Tierney,,58.0,42.0,5.0,0.0,16.0,9.0,5.0,3.0,2.0,2.0,8.0,15.0,561.0,412.0,16.0,6.0,15.0,8.0,1.0,5.0,0.0,1.0,6.0,5.0,1.0,0.0,5.0,2.0,5.0,2.0,14.0,3.0,2.0,6.0,2.0,0.0,3.0,0.0,,,4.0,2.0,1.0,0.0,502.0,351.0,7.0,16.0,56.0,40.0,12.0,11.0,3.0,1.0,59.0,41.0,5.0,4.0,36.0,22.0,9.0,9.0,5.0,8.0,6.0,2.0,13.0,9.0,11.0,11.0,5.0,7.0,,,,,,,,,,
9576298,2021-2022,37,1652612400,finished,Tottenham Hotspur,Burnley,33,6,1.0,0.0,Tottenham Hotspur Stadium,Kevin Friend,,68.0,32.0,3.0,1.0,21.0,8.0,1.0,6.0,8.0,2.0,12.0,8.0,647.0,299.0,9.0,17.0,7.0,12.0,3.0,2.0,,,8.0,1.0,0.0,1.0,7.0,6.0,6.0,1.0,12.0,7.0,9.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,568.0,221.0,20.0,15.0,62.0,58.0,33.0,30.0,10.0,4.0,48.0,52.0,12.0,5.0,25.0,32.0,24.0,21.0,9.0,3.0,6.0,7.0,4.0,8.0,16.0,25.0,6.0,9.0,,,,,,,,,,
9576462,2021-2022,37,1652619600,finished,Wolverhampton,Norwich City,3,263,1.0,1.0,Molineux Stadium,Tony Harrington,31219.0,64.0,36.0,1.0,3.0,17.0,11.0,1.0,3.0,5.0,3.0,5.0,10.0,613.0,350.0,8.0,24.0,10.0,5.0,0.0,3.0,,,4.0,2.0,0.0,0.0,7.0,8.0,6.0,1.0,8.0,9.0,9.0,2.0,,,1.0,3.0,0.0,1.0,4.0,2.0,,,546.0,268.0,19.0,18.0,70.0,38.0,19.0,17.0,12.0,3.0,50.0,50.0,14.0,4.0,37.0,40.0,14.0,10.0,19.0,11.0,6.0,14.0,8.0,9.0,10.0,23.0,10.0,15.0,,,,,,,,,,
