season,venue,result,count,total,percentage
2020-2021,Away,Draw,83,380,21.842105263157897
2020-2021,Away,Loss,144,380,37.89473684210527
2020-2021,Away,Win,153,380,40.26315789473684
2020-2021,Home,Draw,83,380,21.842105263157897
2020-2021,Home,Loss,153,380,40.26315789473684
2020-2021,Home,Win,144,380,37.89473684210527
2021-2022,Away,Draw,88,380,23.157894736842106
2021-2022,Away,Loss,163,380,42.89473684210526
2021-2022,Away,Win,129,380,33.94736842105263
2021-2022,Home,Draw,88,380,23.157894736842106
2021-2022,Home,Loss,129,380,33.94736842105263
2021-2022,Home,Win,163,380,42.89473684210526
2022-2023,Away,Draw,87,380,22.894736842105264
2022-2023,Away,Loss,184,380,48.421052631578945
2022-2023,Away,Win,109,380,28.68421052631579
2022-2023,Home,Draw,87,380,22.894736842105264
2022-2023,Home,Loss,109,380,28.68421052631579
2022-2023,Home,Win,184,380,48.421052631578945
2023-2024,Away,Draw,82,380,21.578947368421055
2023-2024,Away,Loss,175,380,46.05263157894737
2023-2024,Away,Win,123,380,32.36842105263158
2023-2024,Home,Draw,82,380,21.578947368421055
2023-2024,Home,Loss,123,380,32.36842105263158
2023-2024,Home,Win,175,380,46.05263157894737
2024-2025,Away,Draw,93,380,24.47368421052632
2024-2025,Away,Loss,155,380,40.78947368421053
2024-2025,Away,Win,132,380,34.73684210526316
2024-2025,Home,Draw,93,380,24.47368421052632
2024-2025,Home,Loss,132,380,34.73684210526316
2024-2025,Home,Win,155,380,40.78947368421053
2025-2026,Away,Draw,100,363,27.548209366391184
2025-2026,Away,Loss,153,363,42.14876033057851
2025-2026,Away,Win,110,363,30.303030303030305
2025-2026,Home,Draw,100,363,27.548209366391184
2025-2026,Home,Loss,110,363,30.303030303030305
2025-2026,Home,Win,153,363,42.14876033057851
