season,team,matches,points,win,draw,loss,goals_for,goals_against,attendance,accurateCross,accurateLongBalls,accuratePasses,aerialDuelsPercentage,ballPossession,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedScoringAttempt,cornerKicks,dispossessed,dribblesPercentage,duelWonPercent,finalThirdEntries,fouls,goalkeeperSaves,hitWoodwork,interceptionWon,passes,shotsOffGoal,shotsOnGoal,totalClearance,totalShotsInsideBox,totalShotsOnGoal,totalShotsOutsideBox,totalTackle,wonTacklePercent,goal_difference,win_pct,goals_per_game,position,is_champion,top_4,relegated
2020-2021,Arsenal,38,61,18,7,13,55,39,621.2121212121212,4.2368421052631575,22.5,450.2894736842105,13.552631578947368,53.71052631578947,,1.8823529411764706,1.0666666666666667,1.103448275862069,3.289473684210526,5.447368421052632,6.842105263157895,7.7631578947368425,48.44736842105263,56.23684210526316,9.105263157894736,2.526315789473684,0.5,9.210526315789474,529.4736842105264,4.7894736842105265,4.0,16.13157894736842,7.7105263157894735,12.078947368421053,4.368421052631579,12.0,6.605263157894737,16,47.368421052631575,1.4473684210526316,8,False,False,False
2020-2021,Aston Villa,38,55,16,7,15,55,46,322.5806451612903,4.578947368421052,28.736842105263158,314.10526315789474,19.342105263157894,48.26315789473684,,2.0789473684210527,1.3636363636363635,1.096774193548387,3.8157894736842106,5.605263157894737,8.894736842105264,9.657894736842104,52.578947368421055,56.26315789473684,11.552631578947368,3.736842105263158,0.5526315789473685,10.18421052631579,399.60526315789474,4.973684210526316,4.894736842105263,19.36842105263158,9.052631578947368,13.68421052631579,4.631578947368421,13.973684210526315,7.421052631578948,9,42.10526315789473,1.4473684210526316,11,False,False,False
2020-2021,Brighton & Hove Albion,38,41,9,14,15,40,46,560.78125,4.342105263157895,28.18421052631579,389.2894736842105,14.18421052631579,51.21052631578947,,1.8055555555555556,1.4666666666666666,0.9130434782608695,4.105263157894737,5.7631578947368425,8.052631578947368,9.210526315789474,49.81578947368421,55.421052631578945,11.263157894736842,2.1578947368421053,0.42105263157894735,11.18421052631579,478.55263157894734,4.947368421052632,3.763157894736842,14.736842105263158,8.421052631578947,12.81578947368421,4.394736842105263,16.526315789473685,8.789473684210526,-6,23.684210526315788,1.0526315789473684,16,False,False,False
2020-2021,Burnley,38,39,10,9,19,33,55,168.34375,4.0,30.57894736842105,261.0263157894737,23.36842105263158,41.81578947368421,,1.4864864864864864,1.2121212121212122,0.5769230769230769,2.3157894736842106,4.526315789473684,7.315789473684211,6.157894736842105,50.26315789473684,64.86842105263158,10.105263157894736,3.3157894736842106,0.2631578947368421,10.947368421052632,364.36842105263156,4.368421052631579,3.4210526315789473,20.31578947368421,6.157894736842105,10.105263157894736,3.9473684210526314,13.342105263157896,7.7105263157894735,-22,26.31578947368421,0.868421052631579,17,False,False,False
2020-2021,Chelsea,38,67,19,10,9,58,36,662.34375,4.868421052631579,27.710526315789473,551.078947368421,15.157894736842104,61.44736842105263,,2.6285714285714286,1.6470588235294117,1.2857142857142858,4.0,5.947368421052632,7.526315789473684,9.447368421052632,50.78947368421053,55.973684210526315,11.394736842105264,1.9210526315789473,0.4473684210526316,10.052631578947368,633.421052631579,5.105263157894737,5.526315789473684,16.157894736842106,9.605263157894736,14.631578947368421,5.026315789473684,16.105263157894736,8.973684210526315,22,50.0,1.5263157894736843,4,False,True,False
2020-2021,Crystal Palace,38,44,12,8,18,41,66,557.6060606060606,3.6578947368421053,20.736842105263158,281.8421052631579,18.236842105263158,40.05263157894737,,1.2777777777777777,0.8387096774193549,0.6666666666666666,2.6052631578947367,3.973684210526316,10.578947368421053,9.605263157894736,50.71052631578947,46.21052631578947,10.763157894736842,2.8684210526315788,0.2631578947368421,10.447368421052632,370.1842105263158,3.1052631578947367,3.473684210526316,19.13157894736842,5.894736842105263,9.18421052631579,3.289473684210526,16.736842105263158,9.631578947368421,-25,31.57894736842105,1.0789473684210527,14,False,False,False
2020-2021,Everton,38,59,17,8,13,47,48,669.1851851851852,3.6578947368421053,28.236842105263158,367.05263157894734,17.736842105263158,46.473684210526315,,1.9696969696969697,1.1290322580645162,1.0344827586206897,2.6315789473684212,4.394736842105263,9.052631578947368,9.526315789473685,52.76315789473684,47.921052631578945,10.157894736842104,3.0,0.2631578947368421,10.31578947368421,450.8421052631579,4.0,3.8947368421052633,21.13157894736842,6.7105263157894735,10.526315789473685,3.8157894736842106,16.842105263157894,10.026315789473685,-1,44.73684210526316,1.236842105263158,10,False,False,False
2020-2021,Fulham,38,28,5,13,20,27,53,129.03225806451613,4.315789473684211,24.68421052631579,380.4736842105263,17.157894736842106,49.76315789473684,,1.3421052631578947,0.9411764705882353,0.7307692307692307,3.1052631578947367,4.315789473684211,10.342105263157896,13.31578947368421,50.473684210526315,51.68421052631579,12.736842105263158,3.1578947368421053,0.3157894736842105,11.5,468.3157894736842,4.947368421052632,3.5789473684210527,19.763157894736842,7.184210526315789,11.631578947368421,4.447368421052632,15.81578947368421,8.657894736842104,-26,13.157894736842104,0.7105263157894737,18,False,False,True
2020-2021,Leeds United,38,59,18,5,15,62,54,576.3666666666667,4.315789473684211,27.42105263157895,396.8157894736842,14.526315789473685,57.55263157894737,,2.111111111111111,1.6896551724137931,0.8709677419354839,3.3157894736842106,6.026315789473684,8.394736842105264,8.368421052631579,49.526315789473685,51.63157894736842,11.368421052631579,3.8947368421052633,0.47368421052631576,10.447368421052632,490.8421052631579,5.184210526315789,5.2368421052631575,16.07894736842105,9.289473684210526,13.736842105263158,4.447368421052632,19.473684210526315,10.973684210526315,8,47.368421052631575,1.631578947368421,9,False,False,False
2020-2021,Leicester City,38,66,20,6,12,68,50,490.16129032258067,3.1578947368421053,23.842105263157894,423.0263157894737,16.157894736842106,54.55263157894737,,2.27027027027027,1.3235294117647058,1.1818181818181819,3.8157894736842106,5.578947368421052,8.473684210526315,9.421052631578947,51.026315789473685,56.078947368421055,10.868421052631579,2.3157894736842106,0.34210526315789475,11.526315789473685,515.1842105263158,4.078947368421052,4.868421052631579,16.55263157894737,7.684210526315789,12.763157894736842,5.078947368421052,17.92105263157895,10.605263157894736,18,52.63157894736842,1.7894736842105263,5,False,False,False
