Date,HomeTeam,AwayTeam,B365H,B365D,B365A,BWH,BWD,BWA,LBH,LBD,LBA,PSH,PSD,PSA,PSCH,PSCD,PSCA,source_file,IWH,IWD,IWA,WHH,WHD,WHA,VCH,VCD,VCA,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,SJH,SJD,SJA
2015-08-08,Bournemouth,Aston Villa,2.0,3.6,4.0,2.0,3.3,3.7,2.05,3.3,4.0,1.95,3.65,4.27,1.82,3.88,4.7,E0 (11).csv,2.1,3.3,3.3,1.91,3.5,4.0,2.0,3.5,4.2,2.1,1.96,3.65,3.48,4.33,3.98,2.11,2.02,1.88,1.79,,,
2015-08-08,Norwich,Crystal Palace,2.55,3.3,3.0,2.6,3.2,2.7,2.62,3.2,2.9,2.52,3.35,3.08,2.46,3.39,3.14,E0 (11).csv,2.4,3.2,2.85,2.6,3.1,2.88,2.6,3.25,3.0,2.63,2.53,3.42,3.21,3.11,2.92,2.25,2.18,1.75,1.67,,,
2015-08-08,Man United,Tottenham,1.65,4.0,6.0,1.65,4.0,5.5,1.67,4.0,5.5,1.65,4.09,5.9,1.64,4.07,6.04,E0 (11).csv,1.65,3.6,5.1,1.62,3.6,6.0,1.67,4.0,5.75,1.71,1.63,4.2,3.9,6.5,5.65,1.86,1.79,2.13,2.01,,,
2015-08-08,Chelsea,Swansea,1.36,5.0,11.0,1.4,4.75,9.0,1.4,4.5,10.0,1.39,4.92,10.39,1.37,5.04,10.88,E0 (11).csv,1.33,4.8,8.3,1.4,4.0,10.0,1.4,5.0,9.5,1.43,1.37,5.0,4.66,11.26,9.57,1.88,1.8,2.07,1.99,,,
2015-08-08,Everton,Watford,1.7,3.9,5.5,1.7,3.5,5.0,1.75,3.8,5.0,1.7,3.95,5.62,1.75,3.76,5.44,E0 (11).csv,1.7,3.6,4.7,1.73,3.5,5.0,1.73,3.9,5.4,1.75,1.69,4.0,3.76,5.77,5.25,1.93,1.84,2.03,1.96,,,
2015-08-08,Leicester,Sunderland,1.95,3.5,4.33,2.0,3.3,3.75,2.0,3.4,4.2,1.99,3.48,4.34,1.79,3.74,5.1,E0 (11).csv,2.0,3.3,3.6,2.0,3.1,2.7,2.0,3.4,4.33,2.03,1.96,3.5,3.37,4.52,4.06,2.27,2.18,1.73,1.67,,,
2015-08-09,Arsenal,West Ham,1.29,6.0,12.0,1.28,5.75,10.5,1.29,5.5,12.0,1.31,5.75,12.0,1.24,6.75,15.0,E0 (11).csv,1.33,4.8,8.3,1.3,5.0,11.0,1.3,5.75,12.0,1.33,1.29,6.16,5.53,12.0,10.75,1.71,1.64,2.3,2.22,,,
2015-08-09,Newcastle,Southampton,2.88,3.3,2.7,2.8,3.1,2.75,2.88,3.3,2.6,2.88,3.33,2.69,3.09,3.28,2.55,E0 (11).csv,2.65,3.3,2.5,2.7,3.1,2.7,2.88,3.25,2.7,2.88,2.79,3.47,3.23,2.76,2.63,2.23,2.14,1.8,1.7,,,
2015-08-09,Stoke,Liverpool,3.4,3.4,2.3,3.2,3.4,2.3,3.4,3.3,2.3,3.48,3.46,2.25,3.89,3.51,2.09,E0 (11).csv,2.9,3.3,2.3,3.3,3.1,2.3,3.4,3.4,2.3,3.51,3.33,3.51,3.33,2.35,2.24,2.15,2.06,1.82,1.75,,,
2015-08-10,West Brom,Man City,5.75,4.0,1.67,4.75,4.0,1.65,5.5,3.75,1.67,5.75,3.98,1.68,6.46,4.08,1.61,E0 (11).csv,5.1,3.6,1.65,5.5,3.5,1.7,5.5,4.0,1.7,6.5,5.46,4.1,3.85,1.72,1.66,1.84,1.77,2.15,2.04,,,
2015-08-14,Aston Villa,Man United,5.5,3.8,1.73,5.0,3.75,1.75,5.5,3.6,1.73,5.66,3.83,1.72,5.06,3.76,1.8,E0 (11).csv,5.0,3.6,1.67,5.5,3.6,1.75,5.5,3.8,1.75,6.0,5.37,4.0,3.67,1.76,1.71,2.19,2.11,1.79,1.71,,,
2015-08-15,Southampton,Everton,1.95,3.6,4.33,1.95,3.5,4.1,2.0,3.3,4.33,1.98,3.6,4.21,2.03,3.54,4.08,E0 (11).csv,2.1,3.2,3.4,2.0,3.25,4.0,2.0,3.5,4.33,2.1,1.95,3.68,3.45,4.5,4.09,2.23,2.16,1.76,1.68,,,
2015-08-15,Sunderland,Norwich,2.5,3.3,3.1,2.5,3.1,3.2,2.4,3.3,3.1,2.52,3.35,3.08,2.86,3.39,2.66,E0 (11).csv,2.3,3.3,2.9,2.5,3.0,3.0,2.55,3.2,3.13,2.6,2.47,3.4,3.2,3.2,3.01,2.37,2.26,1.69,1.63,,,
2015-08-15,Swansea,Newcastle,1.95,3.6,4.33,1.95,3.5,3.7,1.95,3.5,4.2,1.94,3.66,4.3,1.85,3.86,4.49,E0 (11).csv,1.9,3.45,3.8,1.95,3.2,4.33,1.95,3.6,4.33,2.01,1.92,3.7,3.51,4.33,4.11,2.01,1.94,1.96,1.86,,,
2015-08-15,Tottenham,Stoke,1.8,3.75,5.0,1.8,3.7,4.1,1.8,3.75,4.75,1.79,3.75,5.09,1.74,3.76,5.55,E0 (11).csv,1.7,3.6,4.7,1.8,3.3,5.0,1.8,3.7,5.0,1.84,1.77,3.93,3.66,5.1,4.8,2.0,1.93,1.94,1.87,,,
