match_id,season,round,timestamp,status,home_team,away_team,home_lineup_strength_rating,away_lineup_strength_rating,home_lineup_strength_mv,away_lineup_strength_mv,home_D1_log_mv,home_D1_name,home_D1_rating,home_D2_log_mv,home_D2_name,home_D2_rating,home_D3_log_mv,home_D3_name,home_D3_rating,home_D4_log_mv,home_D4_name,home_D4_rating,home_D5_log_mv,home_D5_name,home_D5_rating,home_F1_log_mv,home_F1_name,home_F1_rating,home_F2_log_mv,home_F2_name,home_F2_rating,home_F3_log_mv,home_F3_name,home_F3_rating,home_G1_log_mv,home_G1_name,home_G1_rating,home_M1_log_mv,home_M1_name,home_M1_rating,home_M2_log_mv,home_M2_name,home_M2_rating,home_M3_log_mv,home_M3_name,home_M3_rating,home_M4_log_mv,home_M4_name,home_M4_rating,home_M5_log_mv,home_M5_name,home_M5_rating,home_M6_log_mv,home_M6_name,home_M6_rating,away_D1_log_mv,away_D1_name,away_D1_rating,away_D2_log_mv,away_D2_name,away_D2_rating,away_D3_log_mv,away_D3_name,away_D3_rating,away_D4_log_mv,away_D4_name,away_D4_rating,away_D5_log_mv,away_D5_name,away_D5_rating,away_F1_log_mv,away_F1_name,away_F1_rating,away_F2_log_mv,away_F2_name,away_F2_rating,away_F3_log_mv,away_F3_name,away_F3_rating,away_G1_log_mv,away_G1_name,away_G1_rating,away_M1_log_mv,away_M1_name,away_M1_rating,away_M2_log_mv,away_M2_name,away_M2_rating,away_M3_log_mv,away_M3_name,away_M3_rating,away_M4_log_mv,away_M4_name,away_M4_rating,away_M5_log_mv,away_M5_name,away_M5_rating,away_M6_log_mv,away_M6_name,away_M6_rating
7089875,2016-2017,1.0,2016-08-13 11:30,Ended,Hull City,Leicester City,6.9409,7.0533,12.6085,14.0764,,J. Livermore,6.64,,A. Elmohamady,7.01,16.186,A. Robertson,7.17,,C. Davies,6.9,,,,10.8,A. Diomandé,7.05,12.278,A. Hernández,7.05,,R. Snodgrass,7.11,,E. Jakupović,6.77,,T. Huddlestone,7.2,11.17,S. Clucas,6.96,,D. Meyler,6.5,,,,,,,,,,,C. Fuchs,7.29,,D. Simpson,6.91,,L. Hernández,6.9,,W. Morgan,7.03,,,,13.785,J. Vardy,7.21,13.092,A. Musa,7.05,,,,12.676,K. Schmeichel,6.83,15.79,R. Mahrez,7.39,,A. King,7.15,15.039,D. Gray,6.64,,D. Drinkwater,7.19,,,,,,
7089874,2016-2017,1.0,2016-08-13 14:00,Ended,Crystal Palace,West Bromwich Albion,6.8111,6.8434,12.818,12.201,11.849,P. Souaré,6.68,,D. Delaney,6.93,12.56,J. Ward,6.78,,S. Dann,7.03,,,,11.562,C. Wickham,6.93,,,,,,,,W. Hennessey,6.67,15.251,W. Zaha,6.76,,M. Jedinak,7.03,12.468,C. Y. Lee,6.44,13.218,A. Townsend,6.8,,J. Puncheon,6.88,,,,13.795,C. Dawson,6.84,,J. Olsson,6.72,,G. McAuley,6.98,,J. Evans,7.07,,,,10.086,S. Berahino,6.75,12.972,S. Rondón,6.94,,,,,B. Foster,6.71,11.951,M. Phillips,6.74,,C. Yacob,6.93,,C. Gardner,6.86,,D. Fletcher,6.75,,,,,,
7089880,2016-2017,1.0,2016-08-13 14:00,Ended,Middlesbrough,Stoke City,7.0047,6.8761,12.4261,12.9564,11.482,E. Nsue,6.9,13.554,B. Gibson,6.8,,G. Friend,6.9,,A. Barragán,6.9,,,,,Á. Negredo,7.05,,,,,,,,V. Valdés,7.9,,S. Downing,6.79,12.014,A. Clayton,6.96,10.859,A. Adomah,6.96,15.039,M. de Roon,6.96,11.608,G. Ramírez,6.96,,,,,P. Bardsley,6.9,,R. Shawcross,6.84,11.849,E. Pieters,6.89,,P. Wollscheid,6.95,,,,10.859,M. B. Diouf,6.89,,,,,,,,S. Given,6.45,,B. Krkic,6.89,14.346,X. Shaqiri,6.85,14.771,M. Arnautović,7.01,,G. Imbula,7.05,,G. Whelan,6.91,,,
7089876,2016-2017,1.0,2016-08-13 14:00,Ended,Everton,Tottenham Hotspur,6.9775,7.0948,13.2043,14.8174,11.314,R. F. Mori,7.23,,P. Jagielka,7.12,14.979,M. Holgate,6.53,,,,,,,,K. Mirallas,6.78,15.32,R. Barkley,7.2,13.092,G. Deulofeu,6.98,,M. Stekelenburg,6.69,,L. Baines,6.9,,G. Barry,7.12,10.736,J. McCarthy,7.01,13.785,I. Gueye,7.21,,,,,,,,D. Rose,7.02,14.648,K. Walker,7.06,,T. Alderweireld,7.2,,J. Vertonghen,7.06,,,,18.078,H. Kane,7.34,,,,,,,13.785,H. Lloris,7.0,12.388,V. Wanyama,6.97,,E. Lamela,7.03,14.286,D. Alli,7.12,15.656,E. Dier,6.93,14.88,C. Eriksen,7.32,,,
7089878,2016-2017,1.0,2016-08-13 14:00,Ended,Burnley,Swansea City,6.7775,6.8645,12.4127,12.3216,13.039,B. Mee,6.85,,S. Ward,6.4,15.124,M. Keane,7.06,12.468,M. Lowton,6.64,,,,10.736,S. Vokes,6.68,12.794,A. Gray,6.64,,,,11.849,T. Heaton,6.95,,D. Jones,6.69,10.878,S. Arfield,6.49,,D. Marney,7.6,,G. Boyd,6.56,,,,,,,10.897,K. Naughton,6.81,,F. Fernández,7.01,13.337,J. Amat,6.83,11.051,S. Kingsley,6.95,,,,,F. Llorente,7.07,13.092,M. Barrow,6.58,,W. Routledge,6.56,12.468,Ł. Fabiański,6.89,13.521,J. Cork,6.99,,L. Britton,6.87,11.884,L. Fer,6.94,,,,,,,,,
7089879,2016-2017,1.0,2016-08-13 14:00,Ended,Southampton,Watford,7.01,6.8923,14.185,12.345,14.979,M. Targett,6.93,13.227,C. Soares,6.97,16.739,V. van Dijk,7.41,11.849,M. Yoshida,6.87,,,,13.998,N. Redmond,6.94,,S. Long,7.0,,,,13.4,F. Forster,6.85,15.502,J. Ward-Prowse,7.03,13.514,O. Romeu,6.96,,S. Davis,7.03,14.457,D. Tadić,7.12,,,,,,,,S. Prödl,6.9,,M. Britos,6.77,,C. Cathcart,6.73,,,,,,,13.271,O. Ighalo,7.02,11.951,T. Deeney,7.27,,,,,Gomes,6.97,,J. Holebas,6.84,11.813,N. Amrabat,6.47,,É. Capoue,6.94,,V. Behrami,6.84,,A. Guédioura,7.07,,,
7089877,2016-2017,1.0,2016-08-13 16:30,Ended,Manchester City,Sunderland,7.1195,6.8662,16.122,12.4221,16.426,J. Stones,7.05,,G. Clichy,7.14,,A. Kolarov,7.15,,B. Sagna,6.97,,,,,S. Agüero,7.4,,,,,,,,W. Caballero,6.77,,D. Silva,7.32,16.556,K. De Bruyne,7.35,,Nolito,6.96,,Fernandinho,7.13,15.384,R. Sterling,7.07,,,,12.578,P. v. Aanholt,6.97,,Y. Kaboul,6.94,12.155,D. Love,6.9,10.878,L. Koné,7.31,,,,,J. Defoe,7.0,,,,,,,,V. Mannone,6.97,13.181,D. Watmore,6.33,,J. Rodwell,6.77,12.181,F. Borini,6.62,,J. O'Shea,6.77,13.561,L. Gooch,6.96,,,
7089873,2016-2017,1.0,2016-08-14 12:30,Ended,Bournemouth,Manchester United,6.8413,7.0097,13.7501,14.4277,,C. Daniels,6.77,12.676,S. Cook,7.01,,S. Francis,6.91,13.152,A. Smith,6.77,,,,11.419,J. Ibe,6.53,14.152,J. King,7.02,15.483,C. Wilson,7.01,,A. Boruc,6.63,16.433,L. Cook,6.7,12.936,H. Arter,6.97,,A. Surman,6.94,,,,,,,,,,14.221,D. Blind,7.15,,A. Valencia,7.14,16.056,L. Shaw,6.99,14.221,E. Bailly,6.92,,,,,Z. Ibrahimović,7.05,,,,,,,15.009,D. De Gea,6.77,,W. Rooney,7.22,13.039,A. Herrera,7.18,,M. Fellaini,6.75,12.874,J. Mata,6.99,15.573,A. Martial,6.97,,,
7089871,2016-2017,1.0,2016-08-14 15:00,Ended,Arsenal,Liverpool,7.0363,7.0695,14.4719,14.3496,14.771,H. Bellerín,6.92,13.78,C. Chambers,6.76,14.845,R. Holding,6.97,,N. Monreal,7.08,,,,14.221,A. Sánchez,7.47,,,,,,,,P. Čech,7.07,14.286,M. Elneny,6.95,13.152,A. Ramsey,7.1,17.074,A. Iwobi,7.01,,T. Walcott,6.86,13.647,F. Coquelin,7.22,,,,13.769,A. Moreno,7.0,13.028,D. Lovren,7.05,13.05,N. Clyne,6.77,,R. Klavan,6.9,,,,15.124,P. Coutinho,7.51,15.405,R. Firmino,7.41,15.703,S. Mané,7.27,13.816,S. Mignolet,6.69,14.604,J. Henderson,7.2,14.648,G. Wijnaldum,6.93,,A. Lallana,7.02,,,,,,,,,
7089872,2016-2017,1.0,2016-08-15 19:00,Ended,Chelsea,West Ham United,7.0088,6.9561,14.5093,13.1161,,G. Cahill,6.91,,J. Terry,6.8,13.911,C. Azpilicueta,7.07,,B. Ivanović,6.86,,,,,Diego Costa,7.05,,,,,,,16.672,T. Courtois,6.73,15.297,N. Kanté,7.16,14.346,N. Matić,6.98,13.748,Oscar,6.87,,E. Hazard,7.4,13.082,Willian,7.27,,,,13.152,M. Antonio,7.1,,J. Collins,7.01,,W. Reid,7.09,14.691,A. Masuaku,6.81,,,,12.543,A. Ayew,6.89,12.388,A. Carroll,7.21,14.152,E. Valencia,6.71,12.936,Adrián,6.92,,M. Noble,7.06,11.951,C. Kouyaté,7.01,,H. Nordtveit,6.7,,,,,,,,,
